exp_name,num_frames,num_dct,lr,batch_size,lstm_layers,lstm_hidden,spatial,spectral,metrics,best_epoch,val_loss,val_acc,val_recall,val_auc
spectral_only,30,1024,0.0001,8,1,256,0,1,0,1,0.6354961257510715,0.5911111235618591,1.0,0.6900999546051025
fase1_spectral_only,30,1024,0.0001,8,1,256,0,1,0,2,0.6398966264724731,0.5888888835906982,1.0,0.6829999685287476
fase1_spectral_only,30,1024,0.0001,8,1,256,0,1,0,2,0.6784637567732069,0.653333306312561,0.9633333086967468,0.6940889358520508
fase1_spectral_only,30,1024,0.0001,4,1,256,0,1,0,1,0.6439111697673797,0.6266666650772095,1.0,0.7039666175842285
fase1_spectral_only,30,1024,0.0001,8,1,256,0,1,0,1,0.6351004971398247,0.6088888645172119,1.0,0.6893554925918579
fase1_spectral_only,30,1024,0.0001,8,1,256,0,1,0,1,0.6459217977523803,0.6399999856948853,1.0,0.699833333492279
fase1_spectral_only,30,1024,0.0001,8,1,256,0,1,0,3,0.6614919302198622,0.6177777647972107,0.9766666889190674,0.7003666162490845
fase1_spectral_only,30,1024,0.0001,4,1,256,0,1,0,1,0.6571644246578217,0.6333333253860474,1.0,0.697100043296814
fase1_spatial_only,30,1024,0.0001,64,1,256,1,0,0,30,0.5794268417358398,0.8111110925674438,0.8766666650772095,0.8630889058113098
fase1_spectral_only,30,1024,0.0001,64,1,256,0,1,0,29,1.0539807976616753,0.6977777481079102,0.7333333492279053,0.734155535697937
fase1_structural_only,30,1024,0.0001,64,1,256,0,0,1,11,0.6894516923692491,0.6666666865348816,0.8533333539962769,0.626022219657898
fase1_spatial_spectral,30,1024,0.0001,64,1,256,1,1,0,26,0.658821055094401,0.7733333110809326,0.7733333110809326,0.859177827835083
fase1_spatial_structural,30,1024,0.0001,64,1,256,1,0,1,30,0.5065635723537869,0.7866666913032532,0.7933333516120911,0.8654665946960449
fase1_spectral_structural,30,1024,0.0001,64,1,256,0,1,1,30,1.0211453586154513,0.6644444465637207,0.699999988079071,0.7209556102752686
fase1_spatial_only,30,1024,0.0001,64,1,256,1,0,0,23,0.49267232259114585,0.757777750492096,0.7433333396911621,0.8563666343688965
fase1_spectral_only,30,1024,0.0001,64,1,256,0,1,0,59,1.807149607340495,0.7244444489479065,0.8333333134651184,0.7328222393989563
fase1_structural_only,30,1024,0.0001,64,1,256,0,0,1,13,0.6914346652560764,0.6777777671813965,0.9700000286102295,0.6226333379745483
fase1_spatial_only,30,1024,0.0001,64,1,256,1,0,0,26,0.5307429928249783,0.8066666722297668,0.8633333444595337,0.8704777956008911
fase1_spectral_only,30,1024,0.0001,64,1,256,0,1,0,27,0.910785395304362,0.6733333468437195,0.6966666579246521,0.7055221796035767
fase1_structural_only,30,1024,0.0001,64,1,256,0,0,1,11,0.6918616570366753,0.6711111068725586,0.9900000095367432,0.6253777742385864
fase1_spatial_spectral,30,1024,0.0001,64,1,256,1,1,0,26,0.6111512925889757,0.7888888716697693,0.8166666626930237,0.8787888884544373
fase1_spatial_structural,30,1024,0.0001,64,1,256,1,0,1,27,0.5472371376885308,0.7599999904632568,0.746666669845581,0.849399983882904
fase1_spectral_structural,30,1024,0.0001,64,1,256,0,1,1,29,1.0749535115559896,0.6733333468437195,0.7333333492279053,0.7204999923706055
fase1_full_model,30,1024,0.0001,64,1,256,1,1,1,24,0.5888681708441841,0.7555555701255798,0.70333331823349,0.8661333322525024
fase2_frames_10,10,1024,0.0001,64,1,256,1,1,1,21,0.5581013955010308,0.7844444513320923,0.7733333110809326,0.8697666525840759
fase2_frames_20,20,1024,0.0001,64,1,256,1,1,1,14,0.5128410212198893,0.699999988079071,0.5866666436195374,0.8696333765983582
fase2_frames_30,30,1024,0.0001,64,1,256,1,1,1,29,0.6852311494615343,0.7799999713897705,0.8166666626930237,0.8599111437797546
fase2_frames_40,40,1024,0.0001,64,1,256,1,1,1,21,0.5562825478447808,0.804444432258606,0.8233333230018616,0.8681111335754395
fase2_frames_50,50,1024,0.0001,64,1,256,1,1,1,15,0.48903977288140194,0.7355555295944214,0.6499999761581421,0.8658777475357056
fase2_frames_60,60,1024,0.0001,64,1,256,1,1,1,23,0.5032586966620551,0.7644444704055786,0.7266666889190674,0.876288890838623
fase3_dct_256,30,256,0.0001,64,1,256,1,1,1,26,0.4747975328233507,0.7888888716697693,0.7799999713897705,0.8723999857902527
fase3_dct_512,30,512,0.0001,64,1,256,1,1,1,27,0.5399836900499132,0.7911111116409302,0.8066666722297668,0.8756999969482422
fase3_dct_1024,30,1024,0.0001,64,1,256,1,1,1,11,0.5324330266316731,0.6844444274902344,0.550000011920929,0.8643888831138611
fase3_dct_2048,30,2048,0.0001,64,1,256,1,1,1,20,0.5687649239434136,0.7799999713897705,0.800000011920929,0.8658666610717773
fase3_dct_4096,30,4096,0.0001,64,1,256,1,1,1,17,0.5870081117418078,0.7799999713897705,0.7633333206176758,0.8653333187103271
