exp_name,num_frames,num_dct,lr,batch_size,lstm_layers,lstm_hidden,spatial,spectral,metrics,best_epoch,val_loss,val_acc,val_recall,val_auc
aligned_full_model_f10_dct256,10,256,0.0001,64,1,256,1,1,1,51,0.733688464694553,0.8022222518920898,0.8266666531562805,0.8833222389221191
aligned_full_model_f10_dct512,10,512,0.0001,64,1,256,1,1,1,31,0.5272885089450412,0.800000011920929,0.7833333611488342,0.8872555494308472
aligned_full_model_f10_dct1024,10,1024,0.0001,64,1,256,1,1,1,15,0.5704038916693793,0.6933333277702332,0.5833333134651184,0.8646444082260132
aligned_full_model_f10_dct256,10,256,0.0001,64,1,256,1,1,1,33,0.5835576756795248,0.800000011920929,0.8799999952316284,0.8783999681472778
aligned_full_model_f10_dct512,10,512,0.0001,64,1,256,1,1,1,49,0.9650052812364366,0.7888888716697693,0.8366666436195374,0.8719666600227356
aligned_full_model_f10_dct1024,10,1024,0.0001,64,1,256,1,1,1,28,0.7033352406819662,0.8088889122009277,0.8700000047683716,0.873699963092804
aligned_full_model_f10_dct2048,10,2048,0.0001,64,1,256,1,1,1,45,1.014542736477322,0.7933333516120911,0.8299999833106995,0.868255615234375
aligned_full_model_f10_dct4096,10,4096,0.0001,64,1,256,1,1,1,24,0.7992826843261719,0.7755555510520935,0.7933333516120911,0.8532333374023438
aligned_full_model_f20_dct256,20,256,0.0001,64,1,256,1,1,1,56,0.9474120712280274,0.8177777528762817,0.9133333563804626,0.8853777647018433
aligned_full_model_f20_dct512,20,512,0.0001,64,1,256,1,1,1,57,0.8943073357476129,0.8133333325386047,0.8633333444595337,0.8800444602966309
aligned_full_model_f20_dct1024,20,1024,0.0001,64,1,256,1,1,1,37,0.7683521440294054,0.7822222113609314,0.7666666507720947,0.8631777763366699
aligned_full_model_f20_dct2048,20,2048,0.0001,64,1,256,1,1,1,30,0.911528065999349,0.7799999713897705,0.8133333325386047,0.8645778298377991
aligned_full_model_f20_dct4096,20,4096,0.0001,64,1,256,1,1,1,27,0.7594842190212674,0.7599999904632568,0.75,0.8545000553131104
aligned_full_model_f10_dct256,10,256,0.0001,64,1,256,1,1,1,40,0.5625130165947808,0.7933333516120911,0.7900000214576721,0.8889888525009155
aligned_full_model_f10_dct512,10,512,0.0001,64,1,256,1,1,1,78,1.0388841417100694,0.8177777528762817,0.8600000143051147,0.886033296585083
aligned_full_model_f10_dct1024,10,1024,0.0001,64,1,256,1,1,1,40,0.8364306640625,0.7866666913032532,0.8500000238418579,0.8577777743339539
aligned_full_model_f10_dct256,10,256,0.0001,64,1,256,1,1,1,33,0.5376881281534831,0.7799999713897705,0.7599999904632568,0.8789333701133728
aligned_full_model_f10_dct512,10,512,0.0001,64,1,256,1,1,1,38,0.7739156426323784,0.804444432258606,0.8100000023841858,0.8685444593429565
aligned_full_model_f10_dct1024,10,1024,0.0001,64,1,256,1,1,1,19,0.5228413009643554,0.7644444704055786,0.7233333587646484,0.8633999824523926
