exp_name,num_frames,num_dct,spatial,spectral,metrics,stop_reason,best_loss_epoch,min_val_loss,loss_auc,loss_recall,loss_precision,loss_f1,best_auc_epoch,auc_val_loss,max_val_auc,auc_recall,auc_precision,auc_f1
v2_full_model_f20_dct256,20,256,1,1,1,early_stopping,12,0.4701782947116428,0.8559556007385254,0.7366666793823242,0.9057376980781555,0.8125,20,0.4904372363620334,0.862333357334137,0.746666669845581,0.892430305480957,0.8130671381950378
v2_full_model_f20_dct512,20,512,1,1,1,early_stopping,17,0.46574789259168836,0.8733221888542175,0.7900000214576721,0.8810408711433411,0.8330404162406921,24,0.5610098266601562,0.8744444847106934,0.7599999904632568,0.9047619104385376,0.8260869383811951
v2_full_model_f20_dct1024,20,1024,1,1,1,early_stopping,13,0.48798091888427736,0.8474555015563965,0.7400000095367432,0.891566276550293,0.8087431788444519,18,0.5552627182006836,0.8572999835014343,0.7166666388511658,0.8921161890029907,0.7948244214057922
v2_full_model_f30_dct256,30,256,1,1,1,early_stopping,12,0.4570897716946072,0.8651778101921082,0.7266666889190674,0.9121338725090027,0.8089053630828857,20,0.4713620758056641,0.8735666275024414,0.7666666507720947,0.8812260627746582,0.8199643492698669
v2_full_model_f30_dct512,30,512,1,1,1,early_stopping,17,0.4669621064927843,0.8609333038330078,0.699999988079071,0.9090909361839294,0.790960431098938,18,0.4708981280856662,0.8700777888298035,0.746666669845581,0.8995984196662903,0.8160291314125061
v2_full_model_f30_dct1024,30,1024,1,1,1,early_stopping,12,0.49762362162272133,0.8315999507904053,0.6766666769981384,0.902222216129303,0.7733333110809326,22,0.6326990085177951,0.853255569934845,0.7633333206176758,0.8674242496490479,0.8120567202568054
v2_full_model_f40_dct256,40,256,1,1,1,early_stopping,22,0.44654115464952254,0.8752555251121521,0.70333331823349,0.9295154213905334,0.8007590174674988,28,0.5217350429958767,0.8826000690460205,0.7900000214576721,0.8943396210670471,0.8389380574226379
v2_full_model_f40_dct512,40,512,1,1,1,early_stopping,17,0.4599287626478407,0.8679444789886475,0.7566666603088379,0.8901960849761963,0.8180180191993713,24,0.48799784342447916,0.8810444474220276,0.7566666603088379,0.88671875,0.8165467381477356
v2_full_model_f40_dct1024,40,1024,1,1,1,early_stopping,14,0.5054706361558702,0.8405777215957642,0.7266666889190674,0.8685259222984314,0.7912885546684265,22,0.5659783935546875,0.8642222285270691,0.7566666603088379,0.8937007784843445,0.8194946050643921
v2_full_model_f50_dct256,50,256,1,1,1,early_stopping,23,0.44612144894070094,0.8750332593917847,0.7566666603088379,0.8937007784843445,0.8194946050643921,33,0.48388907538519965,0.8876333236694336,0.7333333492279053,0.9282700419425964,0.8193668723106384
v2_full_model_f50_dct512,50,512,1,1,1,early_stopping,17,0.4748310767279731,0.8589221835136414,0.7233333587646484,0.8930041193962097,0.7992633581161499,25,0.5705703608194987,0.8651000261306763,0.7900000214576721,0.8681318759918213,0.8272251486778259
v2_full_model_f50_dct1024,50,1024,1,1,1,early_stopping,10,0.5139371236165364,0.8247666358947754,0.6566666960716248,0.8834080696105957,0.7533460855484009,18,0.5236206648084852,0.8370333313941956,0.6700000166893005,0.8933333158493042,0.7657142877578735
v2_full_model_f60_dct256,60,256,1,1,1,early_stopping,25,0.4744943110148112,0.861822247505188,0.6666666865348816,0.9523809552192688,0.7843137383460999,33,0.5018197801378038,0.8773888945579529,0.7133333086967468,0.9145299196243286,0.8014981150627136
v2_full_model_f60_dct512,60,512,1,1,1,early_stopping,19,0.4745991685655382,0.8632888793945312,0.7900000214576721,0.8876404762268066,0.8359788656234741,24,0.47500990125868053,0.8761333227157593,0.7566666603088379,0.9116466045379639,0.8269581198692322
v2_full_model_f60_dct1024,60,1024,1,1,1,early_stopping,13,0.49401436699761286,0.842377781867981,0.699999988079071,0.8898305296897888,0.7835820913314819,18,0.5158813858032226,0.8508000373840332,0.5866666436195374,0.9263157844543457,0.718367338180542
v2_spatial_spectral_f20_dct256,20,256,1,1,0,early_stopping,12,0.47173494550916883,0.863800048828125,0.6600000262260437,0.9209302067756653,0.768932044506073,20,0.4889260694715712,0.8646111488342285,0.7766666412353516,0.8694030046463013,0.8204225301742554
v2_spatial_spectral_f20_dct512,20,512,1,1,0,early_stopping,15,0.47949549357096355,0.8592110872268677,0.7900000214576721,0.8681318759918213,0.8272251486778259,18,0.5045576519436307,0.872011125087738,0.7799999713897705,0.8764045238494873,0.8253968358039856
v2_spatial_spectral_f20_dct1024,20,1024,1,1,0,early_stopping,11,0.48809354994032117,0.8465777635574341,0.6766666769981384,0.902222216129303,0.7733333110809326,18,0.5789755291408962,0.8535110950469971,0.6700000166893005,0.9013453125953674,0.7686424255371094
v2_spatial_spectral_f30_dct256,30,256,1,1,0,early_stopping,14,0.47103914896647137,0.8570666313171387,0.7400000095367432,0.8774703741073608,0.8028932809829712,22,0.5146599451700846,0.8727444410324097,0.5600000023841858,0.9655172228813171,0.7088607549667358
v2_spatial_spectral_f30_dct512,30,512,1,1,0,early_stopping,12,0.4754546907212999,0.8552888631820679,0.7599999904632568,0.8803088665008545,0.8157423734664917,16,0.51872863345676,0.8679444789886475,0.846666693687439,0.846666693687439,0.846666693687439
v2_spatial_spectral_f30_dct1024,30,1024,1,1,0,early_stopping,8,0.5062156380547418,0.8322444558143616,0.6700000166893005,0.9262672662734985,0.7775628566741943,18,0.5481141493055556,0.8588556051254272,0.7633333206176758,0.8807692527770996,0.8178571462631226
v2_spatial_spectral_f40_dct256,40,256,1,1,0,early_stopping,22,0.4525672361585829,0.8655444383621216,0.7266666889190674,0.9356223344802856,0.8180112838745117,25,0.5029225073920356,0.8686666488647461,0.7733333110809326,0.892307698726654,0.8285714387893677
v2_spatial_spectral_f40_dct512,40,512,1,1,0,early_stopping,9,0.4868459786309136,0.8527666926383972,0.653333306312561,0.9158878326416016,0.7626459002494812,16,0.5599327765570746,0.8639999628067017,0.8999999761581421,0.8256880640983582,0.8612440228462219
v2_spatial_spectral_f40_dct1024,40,1024,1,1,0,early_stopping,12,0.5048537317911784,0.8355000019073486,0.6399999856948853,0.9230769276618958,0.7559055089950562,20,0.558862041897244,0.850955605506897,0.7400000095367432,0.8844621777534485,0.8058076500892639
v2_spatial_spectral_f50_dct256,50,256,1,1,0,early_stopping,23,0.45543857998318144,0.875511109828949,0.7833333611488342,0.9003831148147583,0.8377896547317505,28,0.4705335193210178,0.8776000738143921,0.7599999904632568,0.9156626462936401,0.8306010961532593
v2_spatial_spectral_f50_dct512,50,512,1,1,0,early_stopping,21,0.4624277665879991,0.8673444986343384,0.7300000190734863,0.908713698387146,0.8096118569374084,25,0.5818223402235243,0.8683777451515198,0.8733333349227905,0.850649356842041,0.8618420958518982
v2_spatial_spectral_f50_dct1024,50,1024,1,1,0,early_stopping,12,0.49112231784396704,0.8426110744476318,0.7099999785423279,0.894957959651947,0.7918215394020081,22,0.5939913601345486,0.84897780418396,0.6700000166893005,0.8933333158493042,0.7657142877578735
v2_spatial_spectral_f60_dct256,60,256,1,1,0,early_stopping,26,0.4658257759941949,0.871066689491272,0.7099999785423279,0.9063829779624939,0.7962616682052612,26,0.4658257759941949,0.871066689491272,0.7099999785423279,0.9063829779624939,0.7962616682052612
v2_spatial_spectral_f60_dct512,60,512,1,1,0,early_stopping,19,0.4717532687717014,0.8633222579956055,0.7666666507720947,0.8812260627746582,0.8199643492698669,26,0.5450336032443577,0.8771111369132996,0.7866666913032532,0.8805969953536987,0.8309859037399292
v2_spatial_spectral_f60_dct1024,60,1024,1,1,0,early_stopping,13,0.5019898817274305,0.8362555503845215,0.7099999785423279,0.8693877458572388,0.7816513776779175,22,0.5109659534030491,0.8563888669013977,0.7233333587646484,0.8930041193962097,0.7992633581161499
